Yr,Lg,Series, , ,Team,W, ,Team,W, ,Favorite,Underdog
Yr,Lg,Series, , ,Team,W, ,Team,W, ,Favorite,Underdog
2011,NBA,Eastern Conf First Round,"Apr 16 - Apr 26, 2011",,Chicago Bulls (1),,,Indiana Pacers (8),,,CHI (-4000),IND (+1200)
2011,NBA,Eastern Conf First Round,"Apr 16 - Apr 27, 2011",,Miami Heat (2),,,Philadelphia 76ers (7),,,MIA (-2500),PHI (+1000)
2011,NBA,Eastern Conf First Round,"Apr 17 - Apr 24, 2011",,Boston Celtics (3),,,New York Knicks (6),,,BOS (-350),NYK (+250)
2011,NBA,Eastern Conf First Round,"Apr 16 - Apr 28, 2011",,Atlanta Hawks (5),,,Orlando Magic (4),,,ORL (-650),ATL (+425)
2011,NBA,Western Conf First Round,"Apr 17 - Apr 29, 2011",,Memphis Grizzlies (8),,,San Antonio Spurs (1),,,SAS (-390),MEM (+280)
2011,NBA,Western Conf First Round,"Apr 17 - Apr 28, 2011",,Los Angeles Lakers (2),,,New Orleans Hornets (7),,,LAL (-2500),NOH (+1000)
2011,NBA,Western Conf First Round,"Apr 16 - Apr 28, 2011",,Dallas Mavericks (3),,,Portland Trail Blazers (6),,,DAL (-200),POR (+160)
2011,NBA,Western Conf First Round,"Apr 17 - Apr 27, 2011",,Oklahoma City Thunder (4),,,Denver Nuggets (5),,,OKC (-220),DEN (+170)
2011,NBA,Eastern Conf Semifinals,"May 2 - May 12, 2011",,Chicago Bulls (1),,,Atlanta Hawks (5),,,CHI (-800),ATL (+550)
2011,NBA,Eastern Conf Semifinals,"May 1 - May 11, 2011",,Miami Heat (2),,,Boston Celtics (3),,,MIA (-190),BOS (+165)
2011,NBA,Western Conf Semifinals,"May 2 - May 8, 2011",,Dallas Mavericks (3),,,Los Angeles Lakers (2),,,LAL (-360),DAL (+280)
2011,NBA,Western Conf Semifinals,"May 1 - May 15, 2011",,Oklahoma City Thunder (4),,,Memphis Grizzlies (8),,,OKC (-350),MEM (+275)
2011,NBA,Eastern Conf Finals,"May 15 - May 26, 2011",,Miami Heat (2),,,Chicago Bulls (1),,,MIA (-190),CHI (+160)
2011,NBA,Western Conf Finals,"May 17 - May 25, 2011",,Dallas Mavericks (3),,,Oklahoma City Thunder (4),,,DAL (-240),OKC (+200)
2011,NBA,Finals,"May 31 - Jun 12, 2011",,Dallas Mavericks (3),,,Miami Heat (2),,,MIA (-175),DAL (+155)
,,,,,,,,,,,,
2010,NBA,Eastern Conf First Round,"Apr 17 - Apr 27, 2010",,Cleveland Cavaliers (1),,,Chicago Bulls (8),,,CLE (-3000),CHI (+1400)
2010,NBA,Eastern Conf First Round,"Apr 18 - Apr 26, 2010",,Orlando Magic (2),,,Charlotte Bobcats (7),,,ORL (-1000),CHA (+650)
2010,NBA,Eastern Conf First Round,"Apr 17 - May 2, 2010",,Atlanta Hawks (3),,,Milwaukee Bucks (6),,,ATL (-750),MIL (+550)
2010,NBA,Eastern Conf First Round,"Apr 17 - Apr 27, 2010",,Boston Celtics (4),,,Miami Heat (5),,,BOS (-175),MIA (+155)
2010,NBA,Western Conf First Round,"Apr 18 - Apr 30, 2010",,Los Angeles Lakers (1),,,Oklahoma City Thunder (8),,,LAL (-800),OKC (+600)
2010,NBA,Western Conf First Round,"Apr 18 - Apr 29, 2010",,San Antonio Spurs (7),,,Dallas Mavericks (2),,,DAL (-150),SAS (+130)
2010,NBA,Western Conf First Round,"Apr 18 - Apr 29, 2010",,Phoenix Suns (3),,,Portland Trail Blazers (6),,,PHO (-500),POR (+400)
2010,NBA,Western Conf First Round,"Apr 17 - Apr 30, 2010",,Utah Jazz (5),,,Denver Nuggets (4),,,DEN (-175),UTA (+150)
2010,NBA,Eastern Conf Semifinals,"May 1 - May 13, 2010",,Boston Celtics (4),,,Cleveland Cavaliers (1),,,CLE (-480),BOS (+380)
2010,NBA,Eastern Conf Semifinals,"May 4 - May 10, 2010",,Orlando Magic (2),,,Atlanta Hawks (3),,,ORL (-800),ATL (+550)
2010,NBA,Western Conf Semifinals,"May 2 - May 10, 2010",,Los Angeles Lakers (1),,,Utah Jazz (5),,,LAL (-420),UTA (+310)
2010,NBA,Western Conf Semifinals,"May 3 - May 9, 2010",,Phoenix Suns (3),,,San Antonio Spurs (7),,,PHO (-140),SAS (+120)
2010,NBA,Western Conf Finals,"May 17 - May 29, 2010",,Los Angeles Lakers (1),,,Phoenix Suns (3),,,LAL (-340),PHO (+270)
2010,NBA,Eastern Conf Finals,"May 16 - May 28, 2010",,Boston Celtics (4),,,Orlando Magic (2),,,ORL (-260),BOS (+220)
2010,NBA,Finals,"Jun 3 - Jun 17, 2010",,Los Angeles Lakers (1),,,Boston Celtics (4),,,LAL (-190),BOS (+165)
,,,,,,,,,,,,
2009,NBA,Eastern Conf First Round,"Apr 18 - Apr 26, 2009",,Cleveland Cavaliers (1),,,Detroit Pistons (8),,,CLE (-5000),DET (+3000)
2009,NBA,Eastern Conf First Round,"Apr 18 - May 2, 2009",,Boston Celtics (2),,,Chicago Bulls (7),,,BOS (-545),CHI (+405)
2009,NBA,Eastern Conf First Round,"Apr 19 - Apr 30, 2009",,Orlando Magic (3),,,Philadelphia 76ers (6),,,ORL (-1400),PHI (+800)
2009,NBA,Eastern Conf First Round,"Apr 19 - May 3, 2009",,Atlanta Hawks (4),,,Miami Heat (5),,,ATL (-145),MIA (+125)
2009,NBA,Western Conf First Round,"Apr 19 - Apr 27, 2009",,Los Angeles Lakers (1),,,Utah Jazz (8),,,LAL (-2000),UTA (+1200)
2009,NBA,Western Conf First Round,"Apr 19 - Apr 29, 2009",,Denver Nuggets (2),,,New Orleans Hornets (7),,,DEN (-210),NOH (+175)
2009,NBA,Western Conf First Round,"Apr 18 - Apr 28, 2009",,Dallas Mavericks (6),,,San Antonio Spurs (3),,,SAS (-190),DAL (+160)
2009,NBA,Western Conf First Round,"Apr 18 - Apr 30, 2009",,Houston Rockets (5),,,Portland Trail Blazers (4),,,POR (-175),HOU (+150)
2009,NBA,Western Conf Semifinals,"May 4 - May 17, 2009",,Los Angeles Lakers (1),,,Houston Rockets (5),,,LAL (-1100),HOU (+700)
2009,NBA,Western Conf Semifinals,"May 3 - May 13, 2009",,Denver Nuggets (2),,,Dallas Mavericks (6),,,DEN (-240),DAL (+200)
2009,NBA,Eastern Conf Semifinals,"May 5 - May 11, 2009",,Cleveland Cavaliers (1),,,Atlanta Hawks (4),,,CLE (-2450),ATL (+1000)
2009,NBA,Eastern Conf Semifinals,"May 4 - May 17, 2009",,Orlando Magic (3),,,Boston Celtics (2),,,BOS (-120),ORL (+100)
