video_id,channel_id,publish_date,collection_date
pE-j-6BnYBc,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-31 05:44:51.000000,2019-12-29 16:13:32.679466
42jasxN9MOI,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-01 06:05:13.000000,2019-12-29 16:13:32.679349
994c7Tq0KRM,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-02 06:01:54.000000,2019-12-29 16:13:32.679233
t5D7qGhVglM,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-03 06:16:04.000000,2019-12-29 16:13:32.679116
D8VUmgNCZzQ,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-04 06:23:37.000000,2019-12-29 16:13:32.678999
97EThSiZMZ4,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-05 05:47:17.000000,2019-12-29 16:13:32.678881
uaul-s-L6a8,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-06 06:24:59.000000,2019-12-29 16:13:32.678764
2vU3HtbJw9k,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-07 03:15:25.000000,2019-12-29 16:13:32.678648
9QIKja94f3s,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-08 04:59:20.000000,2019-12-29 16:13:32.678530
_NvmpVHxs7o,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-10 06:32:57.000000,2019-12-29 16:13:32.678413
QiqnwnCSdp0,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-11 06:52:09.000000,2019-12-29 16:13:32.678297
_LdFfQgFnh0,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-14 06:51:59.000000,2019-12-29 16:13:32.678181
iDhjAw74GRE,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-15 05:06:13.000000,2019-12-29 16:13:32.678064
nUeVbtOKd_Y,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-16 07:37:14.000000,2019-12-29 16:13:32.677948
G09kjwRxYqc,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-17 05:59:52.000000,2019-12-29 16:13:32.677831
G-0gYgdX8zs,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-18 05:00:52.000000,2019-12-29 16:13:32.677715
h0qfKL63v3s,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-19 06:18:45.000000,2019-12-29 16:13:32.677597
LBzwaWLKq5s,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-20 05:09:15.000000,2019-12-29 16:13:32.677482
NspUEP3jqac,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-21 06:18:50.000000,2019-12-29 16:13:32.677366
s5RfqwlEQUA,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-22 05:24:47.000000,2019-12-29 16:13:32.677249
lSNlVw2qU_Q,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-23 06:35:12.000000,2019-12-29 16:13:32.677133
wqWtbIcQc14,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-24 07:17:03.000000,2019-12-29 16:13:32.677016
2H-8PUHoLqk,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-25 06:03:18.000000,2019-12-29 16:13:32.676894
